decision_id,decision_type,reference_id,recommendation,reason,confidence,action_taken,timestamp
DEC00001,Dock Assignment,TR0001,D10,Available + priority + ETA + load compatibility,0.95,Assigned,2026-08-05 10:00
DEC00002,Dock Assignment,TR0002,D10,Available + priority + ETA + load compatibility,0.98,Assigned,2026-08-09 10:30
DEC00003,Dock Assignment,TR0003,D02,Available + priority + ETA + load compatibility,0.89,Assigned,2026-08-09 10:30
DEC00004,Dock Assignment,TR0004,D07,Available + priority + ETA + load compatibility,0.88,Assigned,2026-08-13 16:30
DEC00005,Dock Assignment,TR0005,D07,Available + priority + ETA + load compatibility,0.91,Assigned,2026-08-08 16:45
DEC00006,Dock Assignment,TR0006,D03,Available + priority + ETA + load compatibility,0.91,Assigned,2026-08-07 14:45
DEC00007,Dock Assignment,TR0007,D04,Available + priority + ETA + load compatibility,0.91,Assigned,2026-08-10 09:45
DEC00008,Dock Assignment,TR0008,D06,Available + priority + ETA + load compatibility,0.91,Assigned,2026-08-11 11:00
DEC00009,Dock Assignment,TR0009,D07,Available + priority + ETA + load compatibility,0.95,Assigned,2026-08-09 09:45
DEC00010,Dock Assignment,TR0010,D07,Available + priority + ETA + load compatibility,0.97,Assigned,2026-08-07 14:30
DEC00011,Dock Assignment,TR0011,D03,Available + priority + ETA + load compatibility,0.91,Assigned,2026-08-14 10:45
DEC00012,Dock Assignment,TR0012,D10,Available + priority + ETA + load compatibility,0.92,Assigned,2026-08-08 10:15
DEC00013,Dock Assignment,TR0013,D03,Available + priority + ETA + load compatibility,0.95,Assigned,2026-08-11 10:15
DEC00014,Dock Assignment,TR0014,D04,Available + priority + ETA + load compatibility,0.89,Assigned,2026-08-08 14:45
DEC00015,Dock Assignment,TR0015,D07,Available + priority + ETA + load compatibility,0.96,Assigned,2026-08-11 10:15
DEC00016,Dock Assignment,TR0016,D04,Available + priority + ETA + load compatibility,0.93,Assigned,2026-08-14 09:30
DEC00017,Dock Reassignment,TR0017,Reassign dock based on updated ETA,Truck delay detected; re-evaluate arrival sequence,0.91,Pending Review,2026-08-05 13:29
DEC00017,Dock Assignment,TR0017,D07,Available + priority + ETA + load compatibility,0.89,Assigned,2026-08-05 12:15
DEC00018,Dock Assignment,TR0018,D01,Available + priority + ETA + load compatibility,0.97,Assigned,2026-08-05 12:30
DEC00019,Dock Assignment,TR0019,D05,Available + priority + ETA + load compatibility,0.88,Assigned,2026-08-06 14:15
DEC00020,Dock Assignment,TR0020,D09,Available + priority + ETA + load compatibility,0.92,Assigned,2026-08-14 14:15
DEC00021,Dock Assignment,TR0021,D07,Available + priority + ETA + load compatibility,0.94,Assigned,2026-08-06 11:45
DEC00022,Dock Assignment,TR0022,D06,Available + priority + ETA + load compatibility,0.94,Assigned,2026-08-12 14:45
DEC00023,Dock Assignment,TR0023,D04,Available + priority + ETA + load compatibility,0.91,Assigned,2026-08-11 12:15
DEC00024,Dock Assignment,TR0024,D02,Available + priority + ETA + load compatibility,0.98,Assigned,2026-08-09 11:30
DEC00025,Dock Assignment,TR0025,D09,Available + priority + ETA + load compatibility,0.88,Assigned,2026-08-07 14:30
DEC00026,Dock Assignment,TR0026,D07,Available + priority + ETA + load compatibility,0.94,Assigned,2026-08-11 09:30
DEC00027,Dock Assignment,TR0027,D08,Available + priority + ETA + load compatibility,0.94,Assigned,2026-08-15 10:00
DEC00028,Dock Assignment,TR0028,D07,Available + priority + ETA + load compatibility,0.94,Assigned,2026-08-08 10:15
DEC00029,Dock Assignment,TR0029,D09,Available + priority + ETA + load compatibility,0.89,Assigned,2026-08-15 09:15
DEC00030,Dock Assignment,TR0030,D02,Available + priority + ETA + load compatibility,0.97,Assigned,2026-08-10 11:45
DEC00031,Dock Assignment,TR0031,D05,Available + priority + ETA + load compatibility,0.92,Assigned,2026-08-07 14:00
DEC00032,Dock Assignment,TR0032,D02,Available + priority + ETA + load compatibility,0.91,Assigned,2026-08-15 10:30
DEC00033,Dock Assignment,TR0033,D04,Available + priority + ETA + load compatibility,0.89,Assigned,2026-08-08 12:45
DEC00034,Dock Assignment,TR0034,D03,Available + priority + ETA + load compatibility,0.95,Assigned,2026-08-10 16:15
DEC00035,Dock Assignment,TR0035,D06,Available + priority + ETA + load compatibility,0.93,Assigned,2026-08-14 10:45
DEC00036,Dock Assignment,TR0036,D04,Available + priority + ETA + load compatibility,0.9,Assigned,2026-08-09 10:45
DEC00037,Dock Assignment,TR0037,D02,Available + priority + ETA + load compatibility,0.92,Assigned,2026-08-13 16:45
DEC00038,Dock Assignment,TR0038,D09,Available + priority + ETA + load compatibility,0.91,Assigned,2026-08-10 09:45
DEC00039,Dock Assignment,TR0039,D03,Available + priority + ETA + load compatibility,0.97,Assigned,2026-08-08 16:30
DEC00040,Dock Assignment,TR0040,D08,Available + priority + ETA + load compatibility,0.89,Assigned,2026-08-07 10:15
DEC00041,Dock Assignment,TR0041,D05,Available + priority + ETA + load compatibility,0.92,Assigned,2026-08-15 16:15
DEC00042,Dock Reassignment,TR0042,Reassign dock based on updated ETA,Truck delay detected; re-evaluate arrival sequence,0.88,Pending Review,2026-08-17 17:06
DEC00042,Dock Assignment,TR0042,D05,Available + priority + ETA + load compatibility,0.96,Assigned,2026-08-17 16:30
DEC00043,Dock Assignment,TR0043,D02,Available + priority + ETA + load compatibility,0.91,Assigned,2026-08-11 16:00
DEC00044,Dock Assignment,TR0044,D08,Available + priority + ETA + load compatibility,0.89,Assigned,2026-08-09 14:30
DEC00045,Dock Assignment,TR0045,D04,Available + priority + ETA + load compatibility,0.94,Assigned,2026-08-09 11:00
DEC00046,Dock Assignment,TR0046,D04,Available + priority + ETA + load compatibility,0.89,Assigned,2026-08-08 16:30
DEC00047,Dock Assignment,TR0047,D08,Available + priority + ETA + load compatibility,0.97,Assigned,2026-08-11 12:00
DEC00048,Dock Assignment,TR0048,D06,Available + priority + ETA + load compatibility,0.89,Assigned,2026-08-11 10:00
DEC00049,Dock Assignment,TR0049,D02,Available + priority + ETA + load compatibility,0.88,Assigned,2026-08-11 11:15
DEC00050,Dock Assignment,TR0050,D09,Available + priority + ETA + load compatibility,0.93,Assigned,2026-08-11 11:00
DEC00051,Dock Assignment,TR0051,D02,Available + priority + ETA + load compatibility,0.91,Assigned,2026-08-12 12:00
DEC00052,Dock Assignment,TR0052,D02,Available + priority + ETA + load compatibility,0.95,Assigned,2026-08-17 16:30
DEC00053,Dock Assignment,TR0053,D03,Available + priority + ETA + load compatibility,0.93,Assigned,2026-08-14 11:45
DEC00054,Dock Assignment,TR0054,D01,Available + priority + ETA + load compatibility,0.94,Assigned,2026-08-17 10:00
DEC00055,Dock Assignment,TR0055,D09,Available + priority + ETA + load compatibility,0.96,Assigned,2026-08-18 10:00
DEC00056,Dock Assignment,TR0056,D02,Available + priority + ETA + load compatibility,0.94,Assigned,2026-08-14 09:15
DEC00057,Dock Assignment,TR0057,D10,Available + priority + ETA + load compatibility,0.91,Assigned,2026-08-17 11:15
DEC00058,Dock Assignment,TR0058,D04,Available + priority + ETA + load compatibility,0.94,Assigned,2026-08-16 14:00
DEC00059,Dock Assignment,TR0059,D02,Available + priority + ETA + load compatibility,0.95,Assigned,2026-08-12 11:00
DEC00060,Dock Assignment,TR0060,D06,Available + priority + ETA + load compatibility,0.96,Assigned,2026-08-10 14:45
DEC00061,Dock Assignment,TR0061,D06,Available + priority + ETA + load compatibility,0.96,Assigned,2026-08-17 16:30
DEC00062,Dock Assignment,TR0062,D06,Available + priority + ETA + load compatibility,0.89,Assigned,2026-08-16 16:00
DEC00063,Dock Assignment,TR0063,D08,Available + priority + ETA + load compatibility,0.98,Assigned,2026-08-12 09:30
DEC00064,Dock Assignment,TR0064,D04,Available + priority + ETA + load compatibility,0.92,Assigned,2026-08-19 14:15
DEC00065,Dock Assignment,TR0065,D05,Available + priority + ETA + load compatibility,0.95,Assigned,2026-08-13 11:00
DEC00066,Dock Assignment,TR0066,D09,Available + priority + ETA + load compatibility,0.95,Assigned,2026-08-14 11:45
DEC00067,Dock Assignment,TR0067,D10,Available + priority + ETA + load compatibility,0.92,Assigned,2026-08-13 12:15
DEC00068,Dock Reassignment,TR0068,Reassign dock based on updated ETA,Truck delay detected; re-evaluate arrival sequence,0.96,Pending Review,2026-08-11 10:43
DEC00068,Dock Assignment,TR0068,D09,Available + priority + ETA + load compatibility,0.96,Assigned,2026-08-11 09:45
DEC00069,Dock Assignment,TR0069,D06,Available + priority + ETA + load compatibility,0.89,Assigned,2026-08-13 14:45
DEC00070,Dock Assignment,TR0070,D01,Available + priority + ETA + load compatibility,0.92,Assigned,2026-08-19 14:15
DEC00071,Dock Assignment,TR0071,D10,Available + priority + ETA + load compatibility,0.89,Assigned,2026-08-19 10:15
DEC00072,Dock Assignment,TR0072,D02,Available + priority + ETA + load compatibility,0.93,Assigned,2026-08-14 12:00
DEC00073,Dock Assignment,TR0073,D02,Available + priority + ETA + load compatibility,0.93,Assigned,2026-08-12 11:45
DEC00074,Dock Assignment,TR0074,D03,Available + priority + ETA + load compatibility,0.93,Assigned,2026-08-16 11:30
DEC00075,Dock Assignment,TR0075,D06,Available + priority + ETA + load compatibility,0.93,Assigned,2026-08-12 10:00
DEC00076,Dock Assignment,TR0076,D07,Available + priority + ETA + load compatibility,0.9,Assigned,2026-08-12 11:00
DEC00077,Dock Assignment,TR0077,D05,Available + priority + ETA + load compatibility,0.94,Assigned,2026-08-12 09:45
DEC00078,Dock Assignment,TR0078,D09,Available + priority + ETA + load compatibility,0.98,Assigned,2026-08-12 14:45
DEC00079,Dock Assignment,TR0079,D06,Available + priority + ETA + load compatibility,0.89,Assigned,2026-08-14 16:30
DEC00080,Dock Assignment,TR0080,D04,Available + priority + ETA + load compatibility,0.91,Assigned,2026-08-16 09:00
DEC00081,Dock Assignment,TR0081,D05,Available + priority + ETA + load compatibility,0.95,Assigned,2026-08-15 16:45
DEC00082,Dock Assignment,TR0082,D02,Available + priority + ETA + load compatibility,0.98,Assigned,2026-08-13 10:15
DEC00083,Dock Assignment,TR0083,D07,Available + priority + ETA + load compatibility,0.89,Assigned,2026-08-13 10:30
DEC00084,Dock Assignment,TR0084,D09,Available + priority + ETA + load compatibility,0.94,Assigned,2026-08-17 11:30
DEC00085,Dock Assignment,TR0085,D10,Available + priority + ETA + load compatibility,0.94,Assigned,2026-08-16 14:00
DEC00086,Dock Assignment,TR0086,D10,Available + priority + ETA + load compatibility,0.97,Assigned,2026-08-17 11:45
DEC00087,Dock Assignment,TR0087,D07,Available + priority + ETA + load compatibility,0.92,Assigned,2026-08-15 09:30
DEC00088,Dock Assignment,TR0088,D04,Available + priority + ETA + load compatibility,0.88,Assigned,2026-08-12 14:45
DEC00089,Dock Assignment,TR0089,D07,Available + priority + ETA + load compatibility,0.94,Assigned,2026-08-13 09:00
DEC00090,Dock Assignment,TR0090,D04,Available + priority + ETA + load compatibility,0.92,Assigned,2026-08-17 11:00
DEC00091,Dock Reassignment,TR0091,Reassign dock based on updated ETA,Truck delay detected; re-evaluate arrival sequence,0.94,Pending Review,2026-08-22 13:28
DEC00091,Dock Assignment,TR0091,D10,Available + priority + ETA + load compatibility,0.93,Assigned,2026-08-22 12:15
DEC00092,Dock Assignment,TR0092,D10,Available + priority + ETA + load compatibility,0.95,Assigned,2026-08-22 16:00
DEC00093,Dock Assignment,TR0093,D03,Available + priority + ETA + load compatibility,0.9,Assigned,2026-08-14 10:15
DEC00094,Dock Assignment,TR0094,D09,Available + priority + ETA + load compatibility,0.92,Assigned,2026-08-16 14:15
DEC00095,Dock Assignment,TR0095,D08,Available + priority + ETA + load compatibility,0.97,Assigned,2026-08-20 11:15
DEC00096,Dock Assignment,TR0096,D08,Available + priority + ETA + load compatibility,0.93,Assigned,2026-08-20 12:30
DEC00097,Dock Assignment,TR0097,D07,Available + priority + ETA + load compatibility,0.93,Assigned,2026-08-18 14:15
DEC00098,Dock Assignment,TR0098,D03,Available + priority + ETA + load compatibility,0.96,Assigned,2026-08-17 12:15
DEC00099,Dock Assignment,TR0099,D09,Available + priority + ETA + load compatibility,0.9,Assigned,2026-08-14 09:30
DEC00100,Dock Assignment,TR0100,D09,Available + priority + ETA + load compatibility,0.92,Assigned,2026-08-13 09:30
