assignment_id,trailer_id,dock_id,assigned_at,scheduled_start,scheduled_end,assignment_reason,status
DA00001,TR0001,D10,2026-08-05 08:00,2026-08-05 10:00,2026-08-05 10:45,Available + priority + ETA + load compatibility,Assigned
DA00002,TR0002,D10,2026-08-09 08:00,2026-08-09 10:30,2026-08-09 11:15,Available + priority + ETA + load compatibility,Assigned
DA00003,TR0003,D02,2026-08-09 08:00,2026-08-09 10:30,2026-08-09 11:15,Available + priority + ETA + load compatibility,Assigned
DA00004,TR0004,D07,2026-08-13 08:00,2026-08-13 16:30,2026-08-13 17:15,Available + priority + ETA + load compatibility,Assigned
DA00005,TR0005,D07,2026-08-08 08:00,2026-08-08 16:45,2026-08-08 17:30,Available + priority + ETA + load compatibility,Assigned
DA00006,TR0006,D03,2026-08-07 08:00,2026-08-07 14:45,2026-08-07 15:30,Available + priority + ETA + load compatibility,Assigned
DA00007,TR0007,D04,2026-08-10 08:00,2026-08-10 09:45,2026-08-10 10:30,Available + priority + ETA + load compatibility,Assigned
DA00008,TR0008,D06,2026-08-11 08:00,2026-08-11 11:00,2026-08-11 11:45,Available + priority + ETA + load compatibility,Assigned
DA00009,TR0009,D07,2026-08-09 08:00,2026-08-09 09:45,2026-08-09 10:30,Available + priority + ETA + load compatibility,Assigned
DA00010,TR0010,D07,2026-08-07 08:00,2026-08-07 14:30,2026-08-07 15:15,Available + priority + ETA + load compatibility,Assigned
DA00011,TR0011,D03,2026-08-14 08:00,2026-08-14 10:45,2026-08-14 11:30,Available + priority + ETA + load compatibility,Assigned
DA00012,TR0012,D10,2026-08-08 08:00,2026-08-08 10:15,2026-08-08 11:00,Available + priority + ETA + load compatibility,Assigned
DA00013,TR0013,D03,2026-08-11 08:00,2026-08-11 10:15,2026-08-11 11:00,Available + priority + ETA + load compatibility,Assigned
DA00014,TR0014,D04,2026-08-08 08:00,2026-08-08 14:45,2026-08-08 15:30,Available + priority + ETA + load compatibility,Assigned
DA00015,TR0015,D07,2026-08-11 08:00,2026-08-11 10:15,2026-08-11 11:00,Available + priority + ETA + load compatibility,Assigned
DA00016,TR0016,D04,2026-08-14 08:00,2026-08-14 09:30,2026-08-14 10:15,Available + priority + ETA + load compatibility,Assigned
DA00017,TR0017,D07,2026-08-05 08:00,2026-08-05 12:15,2026-08-05 13:00,Available + priority + ETA + load compatibility,Assigned
DA00018,TR0018,D01,2026-08-05 08:00,2026-08-05 12:30,2026-08-05 13:15,Available + priority + ETA + load compatibility,Assigned
DA00019,TR0019,D05,2026-08-06 08:00,2026-08-06 14:15,2026-08-06 15:00,Available + priority + ETA + load compatibility,Assigned
DA00020,TR0020,D09,2026-08-14 08:00,2026-08-14 14:15,2026-08-14 15:00,Available + priority + ETA + load compatibility,Assigned
DA00021,TR0021,D07,2026-08-06 08:00,2026-08-06 11:45,2026-08-06 12:30,Available + priority + ETA + load compatibility,Assigned
DA00022,TR0022,D06,2026-08-12 08:00,2026-08-12 14:45,2026-08-12 15:30,Available + priority + ETA + load compatibility,Assigned
DA00023,TR0023,D04,2026-08-11 08:00,2026-08-11 12:15,2026-08-11 13:00,Available + priority + ETA + load compatibility,Assigned
DA00024,TR0024,D02,2026-08-09 08:00,2026-08-09 11:30,2026-08-09 12:15,Available + priority + ETA + load compatibility,Assigned
DA00025,TR0025,D09,2026-08-07 08:00,2026-08-07 14:30,2026-08-07 15:15,Available + priority + ETA + load compatibility,Assigned
DA00026,TR0026,D07,2026-08-11 08:00,2026-08-11 09:30,2026-08-11 10:15,Available + priority + ETA + load compatibility,Assigned
DA00027,TR0027,D08,2026-08-15 08:00,2026-08-15 10:00,2026-08-15 10:45,Available + priority + ETA + load compatibility,Assigned
DA00028,TR0028,D07,2026-08-08 08:00,2026-08-08 10:15,2026-08-08 11:00,Available + priority + ETA + load compatibility,Assigned
DA00029,TR0029,D09,2026-08-15 08:00,2026-08-15 09:15,2026-08-15 10:00,Available + priority + ETA + load compatibility,Assigned
DA00030,TR0030,D02,2026-08-10 08:00,2026-08-10 11:45,2026-08-10 12:30,Available + priority + ETA + load compatibility,Assigned
