gr_id,po_id,shipment_id,received_date,expected_quantity,received_quantity,damaged_quantity,receiver,status
GR00001,PO00001,SHP00001,2026-08-05,500,500,0,Warehouse Team,Accepted
GR00002,PO00002,SHP00002,2026-08-09,200,200,0,Warehouse Team,Accepted
GR00003,PO00003,SHP00003,2026-08-09,100,100,0,Warehouse Team,Accepted
GR00004,PO00004,SHP00004,2026-08-13,750,750,0,Warehouse Team,Accepted
GR00005,PO00005,SHP00005,2026-08-08,750,750,0,Warehouse Team,Accepted
GR00006,PO00006,SHP00006,2026-08-07,100,100,0,Warehouse Team,Accepted
GR00007,PO00007,SHP00007,2026-08-10,200,200,0,Warehouse Team,Accepted
GR00008,PO00008,SHP00008,2026-08-11,200,200,0,Warehouse Team,Accepted
GR00009,PO00009,SHP00009,2026-08-09,50,50,0,Warehouse Team,Accepted
GR00010,PO00010,SHP00010,2026-08-07,200,200,0,Warehouse Team,Accepted
GR00011,PO00011,SHP00011,2026-08-14,200,200,0,Warehouse Team,Accepted
GR00012,PO00012,SHP00012,2026-08-08,200,200,0,Warehouse Team,Accepted
GR00013,PO00013,SHP00013,2026-08-11,100,100,0,Warehouse Team,Accepted
GR00014,PO00014,SHP00014,2026-08-08,200,200,0,Warehouse Team,Accepted
GR00015,PO00015,SHP00015,2026-08-11,200,200,0,Warehouse Team,Accepted
GR00016,PO00016,SHP00016,2026-08-14,750,750,0,Warehouse Team,Accepted
GR00017,PO00017,SHP00017,2026-08-05,750,750,0,Warehouse Team,Accepted
GR00018,PO00018,SHP00018,2026-08-05,100,100,0,Warehouse Team,Accepted
GR00019,PO00019,SHP00019,2026-08-06,500,500,0,Warehouse Team,Accepted
GR00020,PO00020,SHP00020,2026-08-14,750,750,0,Warehouse Team,Accepted
GR00021,PO00021,SHP00021,2026-08-06,50,50,0,Warehouse Team,Accepted
GR00022,PO00022,SHP00022,2026-08-12,1000,1000,0,Warehouse Team,Accepted
GR00023,PO00023,SHP00023,2026-08-11,50,40,10,Warehouse Team,Exception
GR00024,PO00024,SHP00024,2026-08-09,300,300,0,Warehouse Team,Accepted
GR00025,PO00025,SHP00025,2026-08-07,100,100,0,Warehouse Team,Accepted
GR00026,PO00026,SHP00026,2026-08-11,200,200,0,Warehouse Team,Accepted
GR00027,PO00027,SHP00027,2026-08-15,100,100,0,Warehouse Team,Accepted
GR00028,PO00028,SHP00028,2026-08-08,500,500,0,Warehouse Team,Accepted
GR00029,PO00029,SHP00029,2026-08-15,100,100,0,Warehouse Team,Accepted
GR00030,PO00030,SHP00030,2026-08-10,50,50,0,Warehouse Team,Accepted
GR00031,PO00031,SHP00031,2026-08-07,500,500,0,Warehouse Team,Accepted
GR00032,PO00032,SHP00032,2026-08-15,300,300,0,Warehouse Team,Accepted
GR00033,PO00033,SHP00033,2026-08-08,1000,1000,0,Warehouse Team,Accepted
GR00034,PO00034,SHP00034,2026-08-10,750,750,0,Warehouse Team,Accepted
GR00035,PO00035,SHP00035,2026-08-14,300,300,0,Warehouse Team,Accepted
GR00036,PO00036,SHP00036,2026-08-09,750,750,0,Warehouse Team,Accepted
GR00037,PO00037,SHP00037,2026-08-13,1000,1000,0,Warehouse Team,Accepted
GR00038,PO00038,SHP00038,2026-08-10,50,50,0,Warehouse Team,Accepted
GR00039,PO00039,SHP00039,2026-08-08,1000,1000,0,Warehouse Team,Accepted
GR00040,PO00040,SHP00040,2026-08-07,1000,1000,0,Warehouse Team,Accepted
GR00041,PO00041,SHP00041,2026-08-15,300,300,0,Warehouse Team,Accepted
GR00042,PO00042,SHP00042,2026-08-17,100,100,0,Warehouse Team,Accepted
GR00043,PO00043,SHP00043,2026-08-11,500,500,0,Warehouse Team,Accepted
GR00044,PO00044,SHP00044,2026-08-09,100,100,0,Warehouse Team,Accepted
GR00045,PO00045,SHP00045,2026-08-09,1000,1000,0,Warehouse Team,Accepted
GR00046,PO00046,SHP00046,2026-08-08,500,500,0,Warehouse Team,Accepted
GR00047,PO00047,SHP00047,2026-08-11,750,750,0,Warehouse Team,Accepted
GR00048,PO00048,SHP00048,2026-08-11,500,500,0,Warehouse Team,Accepted
GR00049,PO00049,SHP00049,2026-08-11,50,50,0,Warehouse Team,Accepted
GR00050,PO00050,SHP00050,2026-08-11,1000,1000,0,Warehouse Team,Accepted
GR00051,PO00051,SHP00051,2026-08-12,50,50,0,Warehouse Team,Accepted
GR00052,PO00052,SHP00052,2026-08-17,100,100,0,Warehouse Team,Accepted
GR00053,PO00053,SHP00053,2026-08-14,750,750,0,Warehouse Team,Accepted
GR00054,PO00054,SHP00054,2026-08-17,50,50,0,Warehouse Team,Accepted
GR00055,PO00055,SHP00055,2026-08-18,500,500,0,Warehouse Team,Accepted
GR00056,PO00056,SHP00056,2026-08-14,50,50,0,Warehouse Team,Accepted
GR00057,PO00057,SHP00057,2026-08-17,750,745,5,Warehouse Team,Exception
GR00058,PO00058,SHP00058,2026-08-16,300,300,0,Warehouse Team,Accepted
GR00059,PO00059,SHP00059,2026-08-12,200,200,0,Warehouse Team,Accepted
GR00060,PO00060,SHP00060,2026-08-10,300,300,0,Warehouse Team,Accepted
GR00061,PO00061,SHP00061,2026-08-17,500,500,0,Warehouse Team,Accepted
GR00062,PO00062,SHP00062,2026-08-16,50,50,0,Warehouse Team,Accepted
GR00063,PO00063,SHP00063,2026-08-12,1000,1000,0,Warehouse Team,Accepted
GR00064,PO00064,SHP00064,2026-08-19,300,300,0,Warehouse Team,Accepted
GR00065,PO00065,SHP00065,2026-08-13,100,100,0,Warehouse Team,Accepted
GR00066,PO00066,SHP00066,2026-08-14,200,200,0,Warehouse Team,Accepted
GR00067,PO00067,SHP00067,2026-08-13,50,50,0,Warehouse Team,Accepted
GR00068,PO00068,SHP00068,2026-08-11,1000,1000,0,Warehouse Team,Accepted
GR00069,PO00069,SHP00069,2026-08-13,750,750,0,Warehouse Team,Accepted
GR00070,PO00070,SHP00070,2026-08-19,200,200,0,Warehouse Team,Accepted
GR00071,PO00071,SHP00071,2026-08-19,200,200,0,Warehouse Team,Accepted
GR00072,PO00072,SHP00072,2026-08-14,1000,1000,0,Warehouse Team,Accepted
GR00073,PO00073,SHP00073,2026-08-12,750,750,0,Warehouse Team,Accepted
GR00074,PO00074,SHP00074,2026-08-16,50,50,0,Warehouse Team,Accepted
GR00075,PO00075,SHP00075,2026-08-12,1000,1000,0,Warehouse Team,Accepted
GR00076,PO00076,SHP00076,2026-08-12,200,200,0,Warehouse Team,Accepted
GR00077,PO00077,SHP00077,2026-08-12,200,200,0,Warehouse Team,Accepted
GR00078,PO00078,SHP00078,2026-08-12,750,750,0,Warehouse Team,Accepted
