invoice_id,po_id,supplier_id,invoice_number,invoice_date,product_id,quantity,unit_price,total_amount,ocr_confidence,status
INV00001,PO00001,SUP016,INV-00001,2026-08-05,PROD038,500,250.0,125000.0,0.92,Received
INV00002,PO00002,SUP017,INV-00002,2026-08-09,PROD037,200,3500.0,700000.0,0.99,Received
INV00003,PO00003,SUP018,INV-00003,2026-08-09,PROD005,100,650.0,65000.0,0.99,Received
INV00004,PO00004,SUP004,INV-00004,2026-08-13,PROD008,750,650.0,487500.0,0.98,Received
INV00005,PO00005,SUP005,INV-00005,2026-08-08,PROD022,750,8500.0,6375000.0,0.92,Received
INV00006,PO00006,SUP012,INV-00006,2026-08-07,PROD003,100,850.0,85000.0,0.97,Received
INV00007,PO00007,SUP008,INV-00007,2026-08-10,PROD027,200,3500.0,700000.0,0.94,Received
INV00008,PO00008,SUP009,INV-00008,2026-08-11,PROD005,200,650.0,130000.0,0.97,Received
INV00009,PO00009,SUP017,INV-00009,2026-08-09,PROD039,50,1200.0,60000.0,0.92,Received
INV00010,PO00010,SUP020,INV-00010,2026-08-07,PROD022,200,8500.0,1700000.0,0.96,Received
INV00011,PO00011,SUP019,INV-00011,2026-08-14,PROD040,200,850.0,170000.0,0.96,Received
INV00012,PO00012,SUP020,INV-00012,2026-08-08,PROD043,200,441.0,88200.0,0.97,Received
INV00013,PO00013,SUP008,INV-00013,2026-08-11,PROD026,100,5200.0,520000.0,0.97,Received
INV00014,PO00014,SUP020,INV-00014,2026-08-08,PROD036,200,420.0,84000.0,0.93,Received
INV00015,PO00015,SUP008,INV-00015,2026-08-11,PROD019,200,250.0,50000.0,0.91,Received
INV00016,PO00016,SUP019,INV-00016,2026-08-14,PROD025,750,3500.0,2625000.0,0.93,Received
INV00017,PO00017,SUP011,INV-00017,2026-08-05,PROD025,750,3500.0,2625000.0,0.92,Received
INV00018,PO00018,SUP011,INV-00018,2026-08-05,PROD025,100,3500.0,350000.0,0.97,Received
INV00019,PO00019,SUP001,INV-00019,2026-08-06,PROD013,500,120.0,60000.0,0.92,Received
INV00020,PO00020,SUP019,INV-00020,2026-08-14,PROD020,750,1200.0,900000.0,0.94,Received
INV00021,PO00021,SUP011,INV-00021,2026-08-06,PROD033,50,1800.0,90000.0,0.98,Received
INV00022,PO00022,SUP008,INV-00022,2026-08-12,PROD021,1000,3500.0,3500000.0,0.93,Received
INV00023,PO00023,SUP018,INV-00023,2026-08-11,PROD018,40,250.0,10000.0,0.97,Received
INV00024,PO00024,SUP012,INV-00024,2026-08-09,PROD038,300,250.0,75000.0,0.97,Received
INV00025,PO00025,SUP006,INV-00025,2026-08-07,PROD045,100,180.0,18000.0,0.92,Received
INV00026,PO00026,SUP018,INV-00026,2026-08-11,PROD004,200,180.0,36000.0,0.95,Received
INV00027,PO00027,SUP002,INV-00027,2026-08-15,PROD044,100,650.0,65000.0,0.93,Received
INV00028,PO00028,SUP010,INV-00028,2026-08-08,PROD028,500,180.0,90000.0,0.95,Received
INV00029,PO00029,SUP002,INV-00029,2026-08-15,PROD019,100,250.0,25000.0,0.93,Received
INV00030,PO00030,SUP005,INV-00030,2026-08-10,PROD018,50,250.0,12500.0,0.96,Received
INV00031,PO00031,SUP011,INV-00031,2026-08-07,PROD048,500,1890.0,945000.0,0.99,Received
INV00032,PO00032,SUP003,INV-00032,2026-08-15,PROD032,300,18500.0,5550000.0,0.94,Received
INV00033,PO00033,SUP013,INV-00033,2026-08-08,PROD050,1000,120.0,120000.0,0.93,Received
INV00034,PO00034,SUP015,INV-00034,2026-08-10,PROD019,750,250.0,187500.0,0.95,Received
INV00035,PO00035,SUP009,INV-00035,2026-08-14,PROD033,300,1800.0,540000.0,0.98,Received
INV00036,PO00036,SUP010,INV-00036,2026-08-09,PROD001,750,18500.0,13875000.0,0.99,Received
INV00037,PO00037,SUP008,INV-00037,2026-08-13,PROD025,1000,3500.0,3500000.0,0.98,Received
INV00038,PO00038,SUP015,INV-00038,2026-08-10,PROD034,50,420.0,21000.0,0.94,Received
INV00039,PO00039,SUP016,INV-00039,2026-08-08,PROD046,1000,250.0,250000.0,0.97,Received
INV00040,PO00040,SUP011,INV-00040,2026-08-07,PROD003,1000,850.0,850000.0,0.98,Received
INV00041,PO00041,SUP009,INV-00041,2026-08-15,PROD030,300,180.0,54000.0,0.93,Received
INV00042,PO00042,SUP004,INV-00042,2026-08-17,PROD031,100,3500.0,350000.0,0.97,Received
INV00043,PO00043,SUP007,INV-00043,2026-08-11,PROD015,500,1200.0,600000.0,0.98,Received
INV00044,PO00044,SUP006,INV-00044,2026-08-09,PROD027,100,3500.0,350000.0,0.99,Received
INV00045,PO00045,SUP013,INV-00045,2026-08-09,PROD015,1000,1200.0,1200000.0,0.95,Received
INV00046,PO00046,SUP011,INV-00046,2026-08-08,PROD036,500,420.0,210000.0,0.98,Received
INV00047,PO00047,SUP012,INV-00047,2026-08-11,PROD030,750,180.0,135000.0,0.99,Received
INV00048,PO00048,SUP012,INV-00048,2026-08-11,PROD007,500,850.0,425000.0,0.93,Received
INV00049,PO00049,SUP007,INV-00049,2026-08-11,PROD037,50,3500.0,175000.0,0.96,Received
INV00050,PO00050,SUP012,INV-00050,2026-08-11,PROD001,1000,18500.0,18500000.0,0.96,Received
INV00051,PO00051,SUP020,INV-00051,2026-08-12,PROD015,50,1200.0,60000.0,0.98,Received
INV00052,PO00052,SUP003,INV-00052,2026-08-17,PROD010,100,850.0,85000.0,0.98,Received
INV00053,PO00053,SUP018,INV-00053,2026-08-14,PROD050,750,120.0,90000.0,0.96,Received
INV00054,PO00054,SUP003,INV-00054,2026-08-17,PROD006,50,1200.0,60000.0,0.99,Received
INV00055,PO00055,SUP004,INV-00055,2026-08-18,PROD023,500,180.0,90000.0,0.99,Received
INV00056,PO00056,SUP018,INV-00056,2026-08-14,PROD040,50,850.0,42500.0,0.92,Received
INV00057,PO00057,SUP003,INV-00057,2026-08-17,PROD002,745,5200.0,3874000.0,0.96,Received
INV00058,PO00058,SUP014,INV-00058,2026-08-16,PROD043,300,420.0,126000.0,0.94,Received
INV00059,PO00059,SUP007,INV-00059,2026-08-12,PROD001,200,18500.0,3700000.0,0.94,Received
INV00060,PO00060,SUP001,INV-00060,2026-08-10,PROD028,300,180.0,54000.0,0.92,Received
INV00061,PO00061,SUP014,INV-00061,2026-08-17,PROD016,500,250.0,125000.0,0.97,Received
INV00062,PO00062,SUP008,INV-00062,2026-08-16,PROD010,50,850.0,42500.0,0.92,Received
INV00063,PO00063,SUP010,INV-00063,2026-08-12,PROD029,1000,420.0,420000.0,0.96,Received
INV00064,PO00064,SUP002,INV-00064,2026-08-19,PROD048,300,1980.0,594000.0,0.95,Received
INV00065,PO00065,SUP020,INV-00065,2026-08-13,PROD034,100,420.0,42000.0,0.97,Received
INV00066,PO00066,SUP005,INV-00066,2026-08-14,PROD039,200,1200.0,240000.0,0.92,Received
INV00067,PO00067,SUP012,INV-00067,2026-08-13,PROD033,50,1800.0,90000.0,0.92,Received
INV00068,PO00068,SUP006,INV-00068,2026-08-11,PROD011,1000,5200.0,5200000.0,0.93,Received
INV00069,PO00069,SUP012,INV-00069,2026-08-13,PROD013,750,120.0,90000.0,0.95,Received
INV00070,PO00070,SUP004,INV-00070,2026-08-19,PROD034,200,420.0,84000.0,0.94,Received
INV00071,PO00071,SUP003,INV-00071,2026-08-19,PROD025,200,3500.0,700000.0,0.91,Received
INV00072,PO00072,SUP007,INV-00072,2026-08-14,PROD017,1000,1200.0,1200000.0,0.98,Received
INV00073,PO00073,SUP001,INV-00073,2026-08-12,PROD035,750,420.0,315000.0,0.99,Received
INV00074,PO00074,SUP018,INV-00074,2026-08-16,PROD033,50,1800.0,90000.0,0.91,Received
INV00075,PO00075,SUP006,INV-00075,2026-08-12,PROD042,1000,18500.0,18500000.0,0.98,Received
INV00076,PO00076,SUP016,INV-00076,2026-08-12,PROD035,200,420.0,84000.0,0.94,Received
INV00077,PO00077,SUP016,INV-00077,2026-08-12,PROD045,200,180.0,36000.0,0.93,Received
INV00078,PO00078,SUP006,INV-00078,2026-08-12,PROD028,750,198.0,148500.0,0.96,Received
