po_id,requisition_id,supplier_id,product_id,quantity,unit_price,total_amount,order_date,expected_delivery,priority,status
PO00001,REQ0001,SUP016,PROD038,500,250.0,125000.0,2026-08-01,2026-08-05,High,Confirmed
PO00002,REQ0002,SUP017,PROD037,200,3500.0,700000.0,2026-08-01,2026-08-09,Medium,Confirmed
PO00003,REQ0003,SUP018,PROD005,100,650.0,65000.0,2026-08-01,2026-08-09,High,Confirmed
PO00004,REQ0004,SUP004,PROD008,750,650.0,487500.0,2026-08-01,2026-08-13,High,Confirmed
PO00005,REQ0005,SUP005,PROD022,750,8500.0,6375000.0,2026-08-01,2026-08-08,Medium,Confirmed
PO00006,REQ0006,SUP012,PROD003,100,850.0,85000.0,2026-08-01,2026-08-07,High,Confirmed
PO00007,REQ0007,SUP008,PROD027,200,3500.0,700000.0,2026-08-01,2026-08-10,Low,Confirmed
PO00008,REQ0008,SUP009,PROD005,200,650.0,130000.0,2026-08-01,2026-08-11,High,Confirmed
PO00009,REQ0009,SUP017,PROD039,50,1200.0,60000.0,2026-08-01,2026-08-09,Medium,Confirmed
PO00010,REQ0010,SUP020,PROD022,200,8500.0,1700000.0,2026-08-01,2026-08-07,High,Confirmed
PO00011,REQ0011,SUP019,PROD040,200,850.0,170000.0,2026-08-02,2026-08-14,Medium,Confirmed
PO00012,REQ0012,SUP020,PROD043,200,420.0,84000.0,2026-08-02,2026-08-08,Low,Confirmed
PO00013,REQ0013,SUP008,PROD026,100,5200.0,520000.0,2026-08-02,2026-08-11,High,Confirmed
PO00014,REQ0014,SUP020,PROD036,200,420.0,84000.0,2026-08-02,2026-08-08,Medium,Confirmed
PO00015,REQ0015,SUP008,PROD019,200,250.0,50000.0,2026-08-02,2026-08-11,Medium,Confirmed
PO00016,REQ0016,SUP019,PROD025,750,3500.0,2625000.0,2026-08-02,2026-08-14,Low,Confirmed
PO00017,REQ0017,SUP011,PROD025,750,3500.0,2625000.0,2026-08-02,2026-08-05,High,Confirmed
PO00018,REQ0018,SUP011,PROD025,100,3500.0,350000.0,2026-08-02,2026-08-05,Medium,Confirmed
PO00019,REQ0019,SUP001,PROD013,500,120.0,60000.0,2026-08-02,2026-08-06,Low,Confirmed
PO00020,REQ0020,SUP019,PROD020,750,1200.0,900000.0,2026-08-02,2026-08-14,Medium,Confirmed
PO00021,REQ0021,SUP011,PROD033,50,1800.0,90000.0,2026-08-03,2026-08-06,Medium,Confirmed
PO00022,REQ0022,SUP008,PROD021,1000,3500.0,3500000.0,2026-08-03,2026-08-12,Low,Confirmed
PO00023,REQ0023,SUP018,PROD018,50,250.0,12500.0,2026-08-03,2026-08-11,High,Confirmed
PO00024,REQ0024,SUP012,PROD038,300,250.0,75000.0,2026-08-03,2026-08-09,High,Confirmed
PO00025,REQ0025,SUP006,PROD045,100,180.0,18000.0,2026-08-03,2026-08-07,Low,Confirmed
PO00026,REQ0026,SUP018,PROD004,200,180.0,36000.0,2026-08-03,2026-08-11,High,Confirmed
PO00027,REQ0027,SUP002,PROD044,100,650.0,65000.0,2026-08-03,2026-08-15,Low,Confirmed
PO00028,REQ0028,SUP010,PROD028,500,180.0,90000.0,2026-08-03,2026-08-08,High,Confirmed
PO00029,REQ0029,SUP002,PROD019,100,250.0,25000.0,2026-08-03,2026-08-15,Medium,Confirmed
PO00030,REQ0030,SUP005,PROD018,50,250.0,12500.0,2026-08-03,2026-08-10,Low,Confirmed
PO00031,REQ0031,SUP011,PROD048,500,1800.0,900000.0,2026-08-04,2026-08-07,Medium,Confirmed
PO00032,REQ0032,SUP003,PROD032,300,18500.0,5550000.0,2026-08-04,2026-08-15,Medium,Confirmed
PO00033,REQ0033,SUP013,PROD050,1000,120.0,120000.0,2026-08-04,2026-08-08,High,Confirmed
PO00034,REQ0034,SUP015,PROD019,750,250.0,187500.0,2026-08-04,2026-08-10,Medium,Confirmed
PO00035,REQ0035,SUP009,PROD033,300,1800.0,540000.0,2026-08-04,2026-08-14,Medium,Confirmed
PO00036,REQ0036,SUP010,PROD001,750,18500.0,13875000.0,2026-08-04,2026-08-09,Medium,Confirmed
PO00037,REQ0037,SUP008,PROD025,1000,3500.0,3500000.0,2026-08-04,2026-08-13,Medium,Confirmed
PO00038,REQ0038,SUP015,PROD034,50,420.0,21000.0,2026-08-04,2026-08-10,High,Confirmed
PO00039,REQ0039,SUP016,PROD046,1000,250.0,250000.0,2026-08-04,2026-08-08,High,Confirmed
PO00040,REQ0040,SUP011,PROD003,1000,850.0,850000.0,2026-08-04,2026-08-07,Low,Confirmed
PO00041,REQ0041,SUP009,PROD030,300,180.0,54000.0,2026-08-05,2026-08-15,Medium,Confirmed
PO00042,REQ0042,SUP004,PROD031,100,3500.0,350000.0,2026-08-05,2026-08-17,Medium,Confirmed
PO00043,REQ0043,SUP007,PROD015,500,1200.0,600000.0,2026-08-05,2026-08-11,Medium,Confirmed
PO00044,REQ0044,SUP006,PROD027,100,3500.0,350000.0,2026-08-05,2026-08-09,Low,Confirmed
PO00045,REQ0045,SUP013,PROD015,1000,1200.0,1200000.0,2026-08-05,2026-08-09,High,Confirmed
PO00046,REQ0046,SUP011,PROD036,500,420.0,210000.0,2026-08-05,2026-08-08,Low,Confirmed
PO00047,REQ0047,SUP012,PROD030,750,180.0,135000.0,2026-08-05,2026-08-11,High,Confirmed
PO00048,REQ0048,SUP012,PROD007,500,850.0,425000.0,2026-08-05,2026-08-11,High,Confirmed
PO00049,REQ0049,SUP007,PROD037,50,3500.0,175000.0,2026-08-05,2026-08-11,High,Confirmed
PO00050,REQ0050,SUP012,PROD001,1000,18500.0,18500000.0,2026-08-05,2026-08-11,Low,Confirmed
PO00051,REQ0051,SUP020,PROD015,50,1200.0,60000.0,2026-08-06,2026-08-12,High,Confirmed
PO00052,REQ0052,SUP003,PROD010,100,850.0,85000.0,2026-08-06,2026-08-17,Medium,Confirmed
PO00053,REQ0053,SUP018,PROD050,750,120.0,90000.0,2026-08-06,2026-08-14,Low,Confirmed
PO00054,REQ0054,SUP003,PROD006,50,1200.0,60000.0,2026-08-06,2026-08-17,Medium,Confirmed
PO00055,REQ0055,SUP004,PROD023,500,180.0,90000.0,2026-08-06,2026-08-18,High,Confirmed
PO00056,REQ0056,SUP018,PROD040,50,850.0,42500.0,2026-08-06,2026-08-14,High,Confirmed
PO00057,REQ0057,SUP003,PROD002,750,5200.0,3900000.0,2026-08-06,2026-08-17,High,Confirmed
PO00058,REQ0058,SUP014,PROD043,300,420.0,126000.0,2026-08-06,2026-08-16,High,Confirmed
