requisition_id,requester,department,product_id,quantity,required_date,destination,priority,status
REQ0001,User_03,Production,PROD038,500,2026-08-05,Howrah Warehouse,High,Approved
REQ0002,User_04,Operations,PROD037,200,2026-08-09,Howrah Warehouse,Medium,Approved
REQ0003,User_05,Production,PROD005,100,2026-08-09,Durgapur Warehouse,High,Approved
REQ0004,User_03,Maintenance,PROD008,750,2026-08-13,Durgapur Warehouse,High,Approved
REQ0005,User_03,Operations,PROD022,750,2026-08-08,Durgapur Warehouse,Medium,Approved
REQ0006,User_04,Operations,PROD003,100,2026-08-07,Kolkata Warehouse,High,Approved
REQ0007,User_13,Operations,PROD027,200,2026-08-10,Kolkata Warehouse,Low,Approved
REQ0008,User_09,Maintenance,PROD005,200,2026-08-11,Howrah Warehouse,High,Approved
REQ0009,User_15,Operations,PROD039,50,2026-08-09,Kolkata Warehouse,Medium,Approved
REQ0010,User_14,Production,PROD022,200,2026-08-07,Howrah Warehouse,High,Approved
REQ0011,User_09,Production,PROD040,200,2026-08-14,Durgapur Warehouse,Medium,Approved
REQ0012,User_14,Production,PROD043,200,2026-08-08,Howrah Warehouse,Low,Approved
REQ0013,User_12,Production,PROD026,100,2026-08-11,Kolkata Warehouse,High,Approved
REQ0014,User_10,Operations,PROD036,200,2026-08-08,Howrah Warehouse,Medium,Approved
REQ0015,User_06,Operations,PROD019,200,2026-08-11,Kolkata Warehouse,Medium,Approved
REQ0016,User_14,Operations,PROD025,750,2026-08-14,Durgapur Warehouse,Low,Approved
REQ0017,User_13,Maintenance,PROD025,750,2026-08-05,Howrah Warehouse,High,Approved
REQ0018,User_06,Maintenance,PROD025,100,2026-08-05,Durgapur Warehouse,Medium,Approved
REQ0019,User_04,Production,PROD013,500,2026-08-06,Durgapur Warehouse,Low,Approved
REQ0020,User_07,Operations,PROD020,750,2026-08-14,Kolkata Warehouse,Medium,Approved
REQ0021,User_14,Maintenance,PROD033,50,2026-08-06,Kolkata Warehouse,Medium,Approved
