shipment_id,po_id,tracking_number,trailer_id,origin,destination,departure_time,scheduled_arrival,current_lat,current_lon,eta,status,priority
SHP00001,PO00001,TRK523389,TR0001,Core Materials Warehouse,Kolkata Warehouse,2026-08-04 15:00,2026-08-05 10:00,22.80702,88.40641,2026-08-05 10:00,In Transit,High
SHP00002,PO00002,TRK579434,TR0002,Fusion Electronics Warehouse,Kolkata Warehouse,2026-08-08 00:00,2026-08-09 10:30,22.68747,88.40377,2026-08-09 10:30,At Yard,Medium
SHP00003,PO00003,TRK837715,TR0003,United Industrial Warehouse,Kolkata Warehouse,2026-08-08 16:00,2026-08-09 10:30,22.62099,88.22864,2026-08-09 10:30,Delivered,High
SHP00004,PO00004,TRK629959,TR0004,Delta Supplies Warehouse,Kolkata Warehouse,2026-08-12 07:00,2026-08-13 16:30,22.57216,88.37568,2026-08-13 16:30,At Yard,High
SHP00005,PO00005,TRK256294,TR0005,Omega Tech Warehouse,Kolkata Warehouse,2026-08-06 09:00,2026-08-08 16:45,22.78654,87.98391,2026-08-08 16:45,Delivered,Medium
SHP00006,PO00006,TRK270395,TR0006,Global Tech Supplies Warehouse,Kolkata Warehouse,2026-08-05 22:00,2026-08-07 14:45,23.0343,88.46211,2026-08-07 14:45,In Transit,High
SHP00007,PO00007,TRK466643,TR0007,Vertex Manufacturing Warehouse,Kolkata Warehouse,2026-08-08 20:00,2026-08-10 09:45,22.58346,88.51244,2026-08-10 09:45,At Yard,Low
SHP00008,PO00008,TRK708792,TR0008,Apex Components Warehouse,Kolkata Warehouse,2026-08-09 10:00,2026-08-11 11:00,22.51921,88.6278,2026-08-11 11:00,In Transit,High
SHP00009,PO00009,TRK820221,TR0009,Fusion Electronics Warehouse,Kolkata Warehouse,2026-08-08 04:00,2026-08-09 09:45,22.45101,88.59418,2026-08-09 09:45,Delivered,Medium
SHP00010,PO00010,TRK410016,TR0010,Evergreen Supplies Warehouse,Kolkata Warehouse,2026-08-06 01:00,2026-08-07 14:30,22.85014,88.14464,2026-08-07 14:30,Delivered,High
SHP00011,PO00011,TRK587575,TR0011,Pioneer Parts Warehouse,Kolkata Warehouse,2026-08-13 02:00,2026-08-14 10:45,22.92146,88.355,2026-08-14 10:45,At Yard,Medium
SHP00012,PO00012,TRK740967,TR0012,Evergreen Supplies Warehouse,Kolkata Warehouse,2026-08-07 01:00,2026-08-08 10:15,22.53841,87.93466,2026-08-08 10:15,At Yard,Low
SHP00013,PO00013,TRK152657,TR0013,Vertex Manufacturing Warehouse,Kolkata Warehouse,2026-08-09 17:00,2026-08-11 10:15,22.93247,88.42193,2026-08-11 10:15,At Yard,High
SHP00014,PO00014,TRK571932,TR0014,Evergreen Supplies Warehouse,Kolkata Warehouse,2026-08-06 17:00,2026-08-08 14:45,22.98832,88.45774,2026-08-08 14:45,At Yard,Medium
SHP00015,PO00015,TRK167348,TR0015,Vertex Manufacturing Warehouse,Kolkata Warehouse,2026-08-10 12:00,2026-08-11 10:15,22.67982,88.0146,2026-08-11 10:15,In Transit,Medium
SHP00016,PO00016,TRK664365,TR0016,Pioneer Parts Warehouse,Kolkata Warehouse,2026-08-12 14:00,2026-08-14 09:30,22.62917,88.19249,2026-08-14 09:30,At Yard,Low
SHP00017,PO00017,TRK720644,TR0017,Metro Parts Warehouse,Kolkata Warehouse,2026-08-04 10:00,2026-08-05 12:15,22.77047,88.5802,2026-08-05 13:29,Delayed,High
SHP00018,PO00018,TRK665621,TR0018,Metro Parts Warehouse,Kolkata Warehouse,2026-08-04 03:00,2026-08-05 12:30,22.95095,88.25273,2026-08-05 12:30,Delivered,Medium
SHP00019,PO00019,TRK275939,TR0019,Alpha Components Warehouse,Kolkata Warehouse,2026-08-05 13:00,2026-08-06 14:15,22.72902,88.09218,2026-08-06 14:15,At Yard,Low
SHP00020,PO00020,TRK729577,TR0020,Pioneer Parts Warehouse,Kolkata Warehouse,2026-08-13 16:00,2026-08-14 14:15,22.51114,88.47936,2026-08-14 14:15,Delivered,Medium
SHP00021,PO00021,TRK647091,TR0021,Metro Parts Warehouse,Kolkata Warehouse,2026-08-04 17:00,2026-08-06 11:45,22.87439,88.22662,2026-08-06 11:45,Delivered,Medium
SHP00022,PO00022,TRK290672,TR0022,Vertex Manufacturing Warehouse,Kolkata Warehouse,2026-08-10 15:00,2026-08-12 14:45,22.65184,88.27073,2026-08-12 14:45,At Yard,Low
SHP00023,PO00023,TRK569945,TR0023,United Industrial Warehouse,Kolkata Warehouse,2026-08-09 18:00,2026-08-11 12:15,22.86437,88.38443,2026-08-11 12:15,At Yard,High
SHP00024,PO00024,TRK341736,TR0024,Global Tech Supplies Warehouse,Kolkata Warehouse,2026-08-07 09:00,2026-08-09 11:30,22.87171,88.10319,2026-08-09 11:30,At Yard,High
SHP00025,PO00025,TRK338533,TR0025,Prime Materials Warehouse,Kolkata Warehouse,2026-08-05 11:00,2026-08-07 14:30,23.03831,88.52447,2026-08-07 14:30,At Yard,Low
SHP00026,PO00026,TRK153872,TR0026,United Industrial Warehouse,Kolkata Warehouse,2026-08-10 14:00,2026-08-11 09:30,22.73164,88.23035,2026-08-11 09:30,In Transit,High
SHP00027,PO00027,TRK929151,TR0027,Beta Electronics Warehouse,Kolkata Warehouse,2026-08-14 15:00,2026-08-15 10:00,22.78484,88.21213,2026-08-15 10:00,Delivered,Low
SHP00028,PO00028,TRK282256,TR0028,Zenith Industrial Warehouse,Kolkata Warehouse,2026-08-07 14:00,2026-08-08 10:15,22.60879,87.96089,2026-08-08 10:15,In Transit,High
SHP00029,PO00029,TRK718439,TR0029,Beta Electronics Warehouse,Kolkata Warehouse,2026-08-13 15:00,2026-08-15 09:15,23.00435,88.49087,2026-08-15 09:15,Delivered,Medium
SHP00030,PO00030,TRK522060,TR0030,Omega Tech Warehouse,Kolkata Warehouse,2026-08-08 08:00,2026-08-10 11:45,22.52461,88.41651,2026-08-10 11:45,Delivered,Low
SHP00031,PO00031,TRK704238,TR0031,Metro Parts Warehouse,Kolkata Warehouse,2026-08-05 08:00,2026-08-07 14:00,23.04974,88.40421,2026-08-07 14:00,At Yard,Medium
SHP00032,PO00032,TRK519904,TR0032,Gamma Industrial Warehouse,Kolkata Warehouse,2026-08-14 14:00,2026-08-15 10:30,22.69699,88.2716,2026-08-15 10:30,Delivered,Medium
SHP00033,PO00033,TRK893188,TR0033,Rapid Components Warehouse,Kolkata Warehouse,2026-08-06 10:00,2026-08-08 12:45,22.48252,88.28883,2026-08-08 12:45,Delivered,High
SHP00034,PO00034,TRK197736,TR0034,BlueStar Industries Warehouse,Kolkata Warehouse,2026-08-09 05:00,2026-08-10 16:15,22.63645,87.91026,2026-08-10 16:15,At Yard,Medium
SHP00035,PO00035,TRK243139,TR0035,Apex Components Warehouse,Kolkata Warehouse,2026-08-12 09:00,2026-08-14 10:45,22.56437,88.34953,2026-08-14 10:45,Delivered,Medium
SHP00036,PO00036,TRK899929,TR0036,Zenith Industrial Warehouse,Kolkata Warehouse,2026-08-07 13:00,2026-08-09 10:45,22.77315,88.15884,2026-08-09 10:45,Delivered,Medium
SHP00037,PO00037,TRK259493,TR0037,Vertex Manufacturing Warehouse,Kolkata Warehouse,2026-08-11 14:00,2026-08-13 16:45,22.68165,88.39777,2026-08-13 16:45,Delivered,Medium
SHP00038,PO00038,TRK826353,TR0038,BlueStar Industries Warehouse,Kolkata Warehouse,2026-08-09 11:00,2026-08-10 09:45,22.91892,88.09877,2026-08-10 09:45,Delivered,High
SHP00039,PO00039,TRK203225,TR0039,Core Materials Warehouse,Kolkata Warehouse,2026-08-07 05:00,2026-08-08 16:30,23.04846,88.46007,2026-08-08 16:30,At Yard,High
SHP00040,PO00040,TRK278240,TR0040,Metro Parts Warehouse,Kolkata Warehouse,2026-08-05 17:00,2026-08-07 10:15,22.7687,88.32445,2026-08-07 10:15,In Transit,Low
SHP00041,PO00041,TRK413685,TR0041,Apex Components Warehouse,Kolkata Warehouse,2026-08-14 02:00,2026-08-15 16:15,22.49432,88.60893,2026-08-15 16:15,Delivered,Medium
SHP00042,PO00042,TRK387813,TR0042,Delta Supplies Warehouse,Kolkata Warehouse,2026-08-16 02:00,2026-08-17 16:30,23.03677,88.39367,2026-08-17 17:06,Delayed,Medium
SHP00043,PO00043,TRK926918,TR0043,Nova Systems Warehouse,Kolkata Warehouse,2026-08-10 12:00,2026-08-11 16:00,22.99204,88.38476,2026-08-11 16:00,At Yard,Medium
SHP00044,PO00044,TRK945664,TR0044,Prime Materials Warehouse,Kolkata Warehouse,2026-08-07 11:00,2026-08-09 14:30,22.94828,88.09273,2026-08-09 14:30,At Yard,Low
SHP00045,PO00045,TRK374896,TR0045,Rapid Components Warehouse,Kolkata Warehouse,2026-08-08 20:00,2026-08-09 11:00,22.72287,88.40462,2026-08-09 11:00,Delivered,High
SHP00046,PO00046,TRK139019,TR0046,Metro Parts Warehouse,Kolkata Warehouse,2026-08-06 15:00,2026-08-08 16:30,22.83954,87.98751,2026-08-08 16:30,In Transit,Low
SHP00047,PO00047,TRK134305,TR0047,Global Tech Supplies Warehouse,Kolkata Warehouse,2026-08-10 11:00,2026-08-11 12:00,22.95022,88.36174,2026-08-11 12:00,At Yard,High
SHP00048,PO00048,TRK794963,TR0048,Global Tech Supplies Warehouse,Kolkata Warehouse,2026-08-10 03:00,2026-08-11 10:00,23.01941,88.51814,2026-08-11 10:00,In Transit,High
SHP00049,PO00049,TRK251716,TR0049,Nova Systems Warehouse,Kolkata Warehouse,2026-08-10 06:00,2026-08-11 11:15,22.92319,88.34699,2026-08-11 11:15,At Yard,High
SHP00050,PO00050,TRK881886,TR0050,Global Tech Supplies Warehouse,Kolkata Warehouse,2026-08-10 09:00,2026-08-11 11:00,22.52606,88.21572,2026-08-11 11:00,In Transit,Low
SHP00051,PO00051,TRK546980,TR0051,Evergreen Supplies Warehouse,Kolkata Warehouse,2026-08-11 01:00,2026-08-12 12:00,22.4865,88.25924,2026-08-12 12:00,At Yard,High
SHP00052,PO00052,TRK575755,TR0052,Gamma Industrial Warehouse,Kolkata Warehouse,2026-08-15 09:00,2026-08-17 16:30,22.67854,88.34804,2026-08-17 16:30,At Yard,Medium
SHP00053,PO00053,TRK547494,TR0053,United Industrial Warehouse,Kolkata Warehouse,2026-08-12 18:00,2026-08-14 11:45,22.68924,88.44721,2026-08-14 11:45,At Yard,Low
SHP00054,PO00054,TRK802559,TR0054,Gamma Industrial Warehouse,Kolkata Warehouse,2026-08-15 21:00,2026-08-17 10:00,22.80188,88.32119,2026-08-17 10:00,At Yard,Medium
SHP00055,PO00055,TRK899649,TR0055,Delta Supplies Warehouse,Kolkata Warehouse,2026-08-16 14:00,2026-08-18 10:00,22.66007,88.3172,2026-08-18 10:00,In Transit,High
SHP00056,PO00056,TRK468074,TR0056,United Industrial Warehouse,Kolkata Warehouse,2026-08-13 03:00,2026-08-14 09:15,22.61396,88.47181,2026-08-14 09:15,At Yard,High
SHP00057,PO00057,TRK725185,TR0057,Gamma Industrial Warehouse,Kolkata Warehouse,2026-08-15 15:00,2026-08-17 11:15,22.67203,88.4412,2026-08-17 11:15,Delivered,High
SHP00058,PO00058,TRK811444,TR0058,Eastern Engineering Warehouse,Kolkata Warehouse,2026-08-15 07:00,2026-08-16 14:00,22.6571,87.98317,2026-08-16 14:00,Delivered,High
SHP00059,PO00059,TRK235461,TR0059,Nova Systems Warehouse,Kolkata Warehouse,2026-08-11 02:00,2026-08-12 11:00,22.45464,88.46026,2026-08-12 11:00,In Transit,Low
SHP00060,PO00060,TRK524707,TR0060,Alpha Components Warehouse,Kolkata Warehouse,2026-08-08 17:00,2026-08-10 14:45,22.8757,88.21327,2026-08-10 14:45,In Transit,Low
SHP00061,PO00061,TRK635280,TR0061,Eastern Engineering Warehouse,Kolkata Warehouse,2026-08-16 01:00,2026-08-17 16:30,22.58294,88.48434,2026-08-17 16:30,In Transit,Medium
SHP00062,PO00062,TRK586490,TR0062,Vertex Manufacturing Warehouse,Kolkata Warehouse,2026-08-15 11:00,2026-08-16 16:00,22.55629,88.47964,2026-08-16 16:00,At Yard,Low
