match_id,invoice_id,po_id,gr_id,po_quantity,received_quantity,invoice_quantity,po_unit_price,invoice_unit_price,quantity_match,price_match,overall_status,action
MATCH00001,INV00001,PO00001,GR00001,500,500,500,250.0,250.0,Yes,Yes,Matched,Auto Approve
MATCH00002,INV00002,PO00002,GR00002,200,200,200,3500.0,3500.0,Yes,Yes,Matched,Auto Approve
MATCH00003,INV00003,PO00003,GR00003,100,100,100,650.0,650.0,Yes,Yes,Matched,Auto Approve
MATCH00004,INV00004,PO00004,GR00004,750,750,750,650.0,650.0,Yes,Yes,Matched,Auto Approve
MATCH00005,INV00005,PO00005,GR00005,750,750,750,8500.0,8500.0,Yes,Yes,Matched,Auto Approve
MATCH00006,INV00006,PO00006,GR00006,100,100,100,850.0,850.0,Yes,Yes,Matched,Auto Approve
MATCH00007,INV00007,PO00007,GR00007,200,200,200,3500.0,3500.0,Yes,Yes,Matched,Auto Approve
MATCH00008,INV00008,PO00008,GR00008,200,200,200,650.0,650.0,Yes,Yes,Matched,Auto Approve
MATCH00009,INV00009,PO00009,GR00009,50,50,50,1200.0,1200.0,Yes,Yes,Matched,Auto Approve
MATCH00010,INV00010,PO00010,GR00010,200,200,200,8500.0,8500.0,Yes,Yes,Matched,Auto Approve
MATCH00011,INV00011,PO00011,GR00011,200,200,200,850.0,850.0,Yes,Yes,Matched,Auto Approve
MATCH00012,INV00012,PO00012,GR00012,200,200,200,420.0,441.0,Yes,No,Anomaly,Hold Payment
MATCH00013,INV00013,PO00013,GR00013,100,100,100,5200.0,5200.0,Yes,Yes,Matched,Auto Approve
MATCH00014,INV00014,PO00014,GR00014,200,200,200,420.0,420.0,Yes,Yes,Matched,Auto Approve
MATCH00015,INV00015,PO00015,GR00015,200,200,200,250.0,250.0,Yes,Yes,Matched,Auto Approve
MATCH00016,INV00016,PO00016,GR00016,750,750,750,3500.0,3500.0,Yes,Yes,Matched,Auto Approve
MATCH00017,INV00017,PO00017,GR00017,750,750,750,3500.0,3500.0,Yes,Yes,Matched,Auto Approve
MATCH00018,INV00018,PO00018,GR00018,100,100,100,3500.0,3500.0,Yes,Yes,Matched,Auto Approve
MATCH00019,INV00019,PO00019,GR00019,500,500,500,120.0,120.0,Yes,Yes,Matched,Auto Approve
MATCH00020,INV00020,PO00020,GR00020,750,750,750,1200.0,1200.0,Yes,Yes,Matched,Auto Approve
MATCH00021,INV00021,PO00021,GR00021,50,50,50,1800.0,1800.0,Yes,Yes,Matched,Auto Approve
MATCH00022,INV00022,PO00022,GR00022,1000,1000,1000,3500.0,3500.0,Yes,Yes,Matched,Auto Approve
MATCH00023,INV00023,PO00023,GR00023,50,40,40,250.0,250.0,No,Yes,Anomaly,Hold Payment
MATCH00024,INV00024,PO00024,GR00024,300,300,300,250.0,250.0,Yes,Yes,Matched,Auto Approve
MATCH00025,INV00025,PO00025,GR00025,100,100,100,180.0,180.0,Yes,Yes,Matched,Auto Approve
MATCH00026,INV00026,PO00026,GR00026,200,200,200,180.0,180.0,Yes,Yes,Matched,Auto Approve
MATCH00027,INV00027,PO00027,GR00027,100,100,100,650.0,650.0,Yes,Yes,Matched,Auto Approve
MATCH00028,INV00028,PO00028,GR00028,500,500,500,180.0,180.0,Yes,Yes,Matched,Auto Approve
MATCH00029,INV00029,PO00029,GR00029,100,100,100,250.0,250.0,Yes,Yes,Matched,Auto Approve
MATCH00030,INV00030,PO00030,GR00030,50,50,50,250.0,250.0,Yes,Yes,Matched,Auto Approve
MATCH00031,INV00031,PO00031,GR00031,500,500,500,1800.0,1890.0,Yes,No,Anomaly,Hold Payment
MATCH00032,INV00032,PO00032,GR00032,300,300,300,18500.0,18500.0,Yes,Yes,Matched,Auto Approve
MATCH00033,INV00033,PO00033,GR00033,1000,1000,1000,120.0,120.0,Yes,Yes,Matched,Auto Approve
MATCH00034,INV00034,PO00034,GR00034,750,750,750,250.0,250.0,Yes,Yes,Matched,Auto Approve
MATCH00035,INV00035,PO00035,GR00035,300,300,300,1800.0,1800.0,Yes,Yes,Matched,Auto Approve
MATCH00036,INV00036,PO00036,GR00036,750,750,750,18500.0,18500.0,Yes,Yes,Matched,Auto Approve
MATCH00037,INV00037,PO00037,GR00037,1000,1000,1000,3500.0,3500.0,Yes,Yes,Matched,Auto Approve
MATCH00038,INV00038,PO00038,GR00038,50,50,50,420.0,420.0,Yes,Yes,Matched,Auto Approve
MATCH00039,INV00039,PO00039,GR00039,1000,1000,1000,250.0,250.0,Yes,Yes,Matched,Auto Approve
MATCH00040,INV00040,PO00040,GR00040,1000,1000,1000,850.0,850.0,Yes,Yes,Matched,Auto Approve
MATCH00041,INV00041,PO00041,GR00041,300,300,300,180.0,180.0,Yes,Yes,Matched,Auto Approve
MATCH00042,INV00042,PO00042,GR00042,100,100,100,3500.0,3500.0,Yes,Yes,Matched,Auto Approve
MATCH00043,INV00043,PO00043,GR00043,500,500,500,1200.0,1200.0,Yes,Yes,Matched,Auto Approve
MATCH00044,INV00044,PO00044,GR00044,100,100,100,3500.0,3500.0,Yes,Yes,Matched,Auto Approve
MATCH00045,INV00045,PO00045,GR00045,1000,1000,1000,1200.0,1200.0,Yes,Yes,Matched,Auto Approve
MATCH00046,INV00046,PO00046,GR00046,500,500,500,420.0,420.0,Yes,Yes,Matched,Auto Approve
MATCH00047,INV00047,PO00047,GR00047,750,750,750,180.0,180.0,Yes,Yes,Matched,Auto Approve
MATCH00048,INV00048,PO00048,GR00048,500,500,500,850.0,850.0,Yes,Yes,Matched,Auto Approve
MATCH00049,INV00049,PO00049,GR00049,50,50,50,3500.0,3500.0,Yes,Yes,Matched,Auto Approve
MATCH00050,INV00050,PO00050,GR00050,1000,1000,1000,18500.0,18500.0,Yes,Yes,Matched,Auto Approve
MATCH00051,INV00051,PO00051,GR00051,50,50,50,1200.0,1200.0,Yes,Yes,Matched,Auto Approve
MATCH00052,INV00052,PO00052,GR00052,100,100,100,850.0,850.0,Yes,Yes,Matched,Auto Approve
MATCH00053,INV00053,PO00053,GR00053,750,750,750,120.0,120.0,Yes,Yes,Matched,Auto Approve
MATCH00054,INV00054,PO00054,GR00054,50,50,50,1200.0,1200.0,Yes,Yes,Matched,Auto Approve
MATCH00055,INV00055,PO00055,GR00055,500,500,500,180.0,180.0,Yes,Yes,Matched,Auto Approve
MATCH00056,INV00056,PO00056,GR00056,50,50,50,850.0,850.0,Yes,Yes,Matched,Auto Approve
MATCH00057,INV00057,PO00057,GR00057,750,745,745,5200.0,5200.0,No,Yes,Anomaly,Hold Payment
MATCH00058,INV00058,PO00058,GR00058,300,300,300,420.0,420.0,Yes,Yes,Matched,Auto Approve
MATCH00059,INV00059,PO00059,GR00059,200,200,200,18500.0,18500.0,Yes,Yes,Matched,Auto Approve
MATCH00060,INV00060,PO00060,GR00060,300,300,300,180.0,180.0,Yes,Yes,Matched,Auto Approve
MATCH00061,INV00061,PO00061,GR00061,500,500,500,250.0,250.0,Yes,Yes,Matched,Auto Approve
MATCH00062,INV00062,PO00062,GR00062,50,50,50,850.0,850.0,Yes,Yes,Matched,Auto Approve
MATCH00063,INV00063,PO00063,GR00063,1000,1000,1000,420.0,420.0,Yes,Yes,Matched,Auto Approve
