yard_location_id,zone,position,status,trailer_id,updated_at
Y-A01,A,1,Occupied,TR0001,2026-08-01 08:00
Y-A02,A,2,Occupied,TR0002,2026-08-01 08:10
Y-A03,A,3,Occupied,TR0003,2026-08-01 08:20
Y-A04,A,4,Occupied,TR0004,2026-08-01 08:30
Y-A05,A,5,Occupied,TR0005,2026-08-01 08:40
Y-A06,A,6,Occupied,TR0006,2026-08-01 08:50
Y-A07,A,7,Occupied,TR0007,2026-08-01 09:00
Y-A08,A,8,Occupied,TR0008,2026-08-01 09:10
Y-A09,A,9,Occupied,TR0009,2026-08-01 09:20
Y-A10,A,10,Occupied,TR0010,2026-08-01 09:30
Y-B01,B,1,Occupied,TR0011,2026-08-01 09:40
Y-B02,B,2,Occupied,TR0012,2026-08-01 09:50
Y-B03,B,3,Empty,,2026-08-01 10:00
Y-B04,B,4,Empty,,2026-08-01 10:10
Y-B05,B,5,Empty,,2026-08-01 10:20
Y-B06,B,6,Empty,,2026-08-01 10:30
Y-B07,B,7,Empty,,2026-08-01 10:40
Y-B08,B,8,Empty,,2026-08-01 10:50
Y-B09,B,9,Empty,,2026-08-01 11:00
Y-B10,B,10,Empty,,2026-08-01 11:10
Y-C01,C,1,Empty,,2026-08-01 11:20
Y-C02,C,2,Empty,,2026-08-01 11:30
Y-C03,C,3,Empty,,2026-08-01 11:40
Y-C04,C,4,Empty,,2026-08-01 11:50
Y-C05,C,5,Empty,,2026-08-01 12:00
Y-C06,C,6,Empty,,2026-08-01 12:10
Y-C07,C,7,Empty,,2026-08-01 12:20
Y-C08,C,8,Empty,,2026-08-01 12:30
Y-C09,C,9,Empty,,2026-08-01 12:40
Y-C10,C,10,Empty,,2026-08-01 12:50
